Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,CA,US,,,50,specimens,Number of specimens,T,C
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,CA,US,,,1606,specimens,Number of specimens,T,F
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,CH,FR,XX,1,1,specimens,ml,S,O
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,CH,GB,JP,0.1,,specimens,g,M,O
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,CH,GB,JP,,0.0001,specimens,kg,M,O
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,CH,GB,US,2,,specimens,ml,M,F
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,CH,GB,XX,7,6,specimens,ml,M,O
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,CH,GB,XX,,1,specimens,Number of specimens,M,O
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,CH,US,,,1,specimens,ml,T,F
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,CH,US,,2,2,specimens,Number of specimens,M,F
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,CN,KR,GB,,576,specimens,Number of specimens,M,O
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,CN,NL,,15,,specimens,Number of specimens,S,F
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,CN,US,,,2,specimens,ml,S,F
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,CN,US,,,761,specimens,ml,T,F
2020,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,CN,US,,,73,specimens,Number of specimens,T,F
